trainingEmpID_tbl,trainingStartDate_tbl,trainingEndDate_tbl,trainingCourse_tbl,trainingCategory_tbl,trainingCertificate_tbl,location_tbl
28,2021-03-04,2021-03-12,marketอิ,OJT,ไม่มี,pathumสวะ
4,0000-00-00,0000-00-00,male,sunil521@gmail.com,,
3,0000-00-00,0000-00-00,male,vishal@yahoo.com,,
2,0000-00-00,0000-00-00,female,bsonarika@gmail.com,,
1,0000-00-00,0000-00-00,male,yogesh@makitweb.com,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
0,0000-00-00,0000-00-00,,,,
28,2021-03-04,2021-03-12,marketอิ,OJT,ไม่มี,pathumสวะ
